second,Input,Output
0.01326,2.42500019,1.90625
0.01328,2.48750019,1.90625
0.0133,2.67500019,1.84375
0.01332,2.73750019,1.90625
0.01334,2.80000019,1.8125
0.01336,2.92500019,1.8125
0.01338,3.05000019,1.78125
0.0134,3.11250019,1.75
0.01342,3.23750019,1.75
0.01344,3.36250019,1.71875
0.01346,3.55000019,1.71875
0.01348,3.67500019,1.6875
0.0135,3.73750019,1.625
0.01352,3.80000019,1.625
0.01354,4.05000019,1.5625
0.01356,4.05000019,1.5625
0.01358,4.23750019,1.53125
0.0136,4.36250019,1.53125
0.01362,4.55000019,1.53125
0.01364,4.61250019,1.5
0.01366,4.80000019,1.4375
0.01368,4.92500019,1.40625
0.0137,4.98750019,1.40625
0.01372,5.11250019,1.375
0.01374,5.23750019,1.3125
0.01376,5.42500019,1.34375
0.01378,5.67500019,1.28125
0.0138,5.67500019,1.25
0.01382,5.80000019,1.21875
0.01384,5.92500019,1.15625
0.01386,6.05000019,1.15625
0.01388,6.17500019,1.15625
0.0139,6.30000019,1.125
0.01392,6.42500019,1.125
0.01394,6.55000019,1.09375
0.01396,6.61250019,1.03125
0.01398,6.73750019,1.0625
0.014,6.86250019,0.96875
0.01402,6.98750019,1.03125
0.01404,7.11250019,0.9375
0.01406,7.23750019,0.96875
0.01408,7.36250019,0.9375
0.0141,7.42500019,0.90625
0.01412,7.48750019,0.875
0.01414,7.67500019,0.875
0.01416,7.61250019,0.84375
0.01418,7.73750019,0.8125
0.0142,7.80000019,0.8125
0.01422,7.92500019,0.78125
0.01424,8.05000019,0.78125
0.01426,8.05000019,0.75
0.01428,8.05000019,0.78125
0.0143,8.11250019,0.75
0.01432,8.23750019,0.75
0.01434,8.30000019,0.78125
0.01436,8.23750019,0.75
0.01438,8.36250019,0.75
0.0144,8.42500019,0.71875
0.01442,8.42500019,0.71875
0.01444,8.48750019,0.6875
0.01446,8.48750019,0.6875
0.01448,8.48750019,0.75
0.0145,8.55000019,0.71875
0.01452,8.55000019,0.6875
0.01454,8.48750019,0.6875
0.01456,8.48750019,0.71875
0.01458,8.48750019,0.75
0.0146,8.42500019,0.71875
0.01462,8.42500019,0.71875
0.01464,8.42500019,0.71875
0.01466,8.42500019,0.75
0.01468,8.36250019,0.75
0.0147,8.30000019,0.75
0.01472,8.30000019,0.8125
0.01474,8.23750019,0.8125
0.01476,8.17500019,0.8125
0.01478,8.11250019,0.84375
0.0148,8.11250019,0.84375
0.01482,7.98750019,0.84375
0.01484,7.98750019,0.875
0.01486,7.86250019,0.9375
0.01488,7.73750019,0.875
0.0149,7.67500019,0.9375
0.01492,7.61250019,0.9375
0.01494,7.48750019,0.96875
0.01496,7.36250019,0.96875
0.01498,7.36250019,1.03125
0.015,7.23750019,1.03125
0.01502,7.11250019,1.0625
0.01504,6.98750019,1.09375
0.01506,6.86250019,1.09375
0.01508,6.80000019,1.125
0.0151,6.67500019,1.15625
0.01512,6.67500019,1.1875
0.01514,6.36250019,1.21875
